k, params.Evap, params.Alpha, params.Beta, maxIter, nodes, minCost, maxCost, SC[bs], bestSolnThroughout, parallelP, msec
30, 0.100000, 1.000000, 3.000000, 300, 50, 10, 100, 1143.000000, 1082.000000, 0, 6800
30, 0.100000, 1.000000, 3.000000, 300, 50, 10, 100, 985.000000, 976.000000, 0, 6851
30, 0.100000, 1.000000, 3.000000, 300, 55, 10, 100, 1026.000000, 1023.000000, 0, 8207
30, 0.100000, 1.000000, 3.000000, 300, 55, 10, 100, 1054.000000, 1053.000000, 0, 8423
30, 0.100000, 1.000000, 3.000000, 300, 55, 10, 100, 1050.000000, 987.000000, 0, 8425
30, 0.100000, 1.000000, 3.000000, 300, 55, 10, 100, 1147.000000, 1064.000000, 0, 8144
30, 0.100000, 1.000000, 3.000000, 300, 55, 10, 100, 1123.000000, 1031.000000, 0, 8490
30, 0.100000, 1.000000, 3.000000, 300, 60, 10, 100, 1150.000000, 1150.000000, 0, 10315
30, 0.100000, 1.000000, 3.000000, 300, 60, 10, 100, 1240.000000, 1212.000000, 0, 9894
30, 0.100000, 1.000000, 3.000000, 300, 60, 10, 100, 1142.000000, 1142.000000, 0, 10224
30, 0.100000, 1.000000, 3.000000, 300, 60, 10, 100, 1162.000000, 1126.000000, 0, 9895
30, 0.100000, 1.000000, 3.000000, 300, 60, 10, 100, 1095.000000, 1095.000000, 0, 9572
30, 0.100000, 1.000000, 3.000000, 300, 65, 10, 100, 1301.000000, 1270.000000, 0, 11865
30, 0.100000, 1.000000, 3.000000, 300, 65, 10, 100, 1341.000000, 1254.000000, 0, 11292
30, 0.100000, 1.000000, 3.000000, 300, 65, 10, 100, 1255.000000, 1092.000000, 0, 11829
30, 0.100000, 1.000000, 3.000000, 300, 65, 10, 100, 1217.000000, 1171.000000, 0, 11167
30, 0.100000, 1.000000, 3.000000, 300, 65, 10, 100, 1147.000000, 1104.000000, 0, 11948
30, 0.100000, 1.000000, 3.000000, 300, 70, 10, 100, 1517.000000, 1481.000000, 0, 13774
30, 0.100000, 1.000000, 3.000000, 300, 70, 10, 100, 1404.000000, 1316.000000, 0, 13899
30, 0.100000, 1.000000, 3.000000, 300, 70, 10, 100, 1360.000000, 1340.000000, 0, 13668
30, 0.100000, 1.000000, 3.000000, 300, 70, 10, 100, 1457.000000, 1334.000000, 0, 13626
30, 0.100000, 1.000000, 3.000000, 300, 70, 10, 100, 1282.000000, 1236.000000, 0, 12994
30, 0.100000, 1.000000, 3.000000, 300, 75, 10, 100, 1337.000000, 1302.000000, 0, 15165
30, 0.100000, 1.000000, 3.000000, 300, 75, 10, 100, 1432.000000, 1334.000000, 0, 15617
30, 0.100000, 1.000000, 3.000000, 300, 75, 10, 100, 1597.000000, 1523.000000, 0, 15682
30, 0.100000, 1.000000, 3.000000, 300, 75, 10, 100, 1375.000000, 1344.000000, 0, 16190
30, 0.100000, 1.000000, 3.000000, 300, 75, 10, 100, 1351.000000, 1351.000000, 0, 15794
30, 0.100000, 1.000000, 3.000000, 300, 80, 10, 100, 1621.000000, 1553.000000, 0, 17722
30, 0.100000, 1.000000, 3.000000, 300, 80, 10, 100, 1565.000000, 1412.000000, 0, 18238
30, 0.100000, 1.000000, 3.000000, 300, 80, 10, 100, 1562.000000, 1379.000000, 0, 17557
30, 0.100000, 1.000000, 3.000000, 300, 80, 10, 100, 1513.000000, 1469.000000, 0, 17643
30, 0.100000, 1.000000, 3.000000, 300, 80, 10, 100, 1462.000000, 1456.000000, 0, 18417
30, 0.100000, 1.000000, 3.000000, 300, 85, 10, 100, 1540.000000, 1526.000000, 0, 19204
30, 0.100000, 1.000000, 3.000000, 300, 85, 10, 100, 1599.000000, 1573.000000, 0, 19408
30, 0.100000, 1.000000, 3.000000, 300, 85, 10, 100, 1788.000000, 1608.000000, 0, 19629
30, 0.100000, 1.000000, 3.000000, 300, 85, 10, 100, 1386.000000, 1356.000000, 0, 20403
30, 0.100000, 1.000000, 3.000000, 300, 85, 10, 100, 1711.000000, 1663.000000, 0, 20467
30, 0.100000, 1.000000, 3.000000, 300, 90, 10, 100, 1724.000000, 1620.000000, 0, 22790
30, 0.100000, 1.000000, 3.000000, 300, 90, 10, 100, 1578.000000, 1571.000000, 0, 22139
30, 0.100000, 1.000000, 3.000000, 300, 90, 10, 100, 1809.000000, 1662.000000, 0, 22033
30, 0.100000, 1.000000, 3.000000, 300, 90, 10, 100, 1680.000000, 1477.000000, 0, 22653
30, 0.100000, 1.000000, 3.000000, 300, 90, 10, 100, 1642.000000, 1620.000000, 0, 22792
30, 0.100000, 1.000000, 3.000000, 300, 95, 10, 100, 1684.000000, 1663.000000, 0, 25256
30, 0.100000, 1.000000, 3.000000, 300, 95, 10, 100, 1644.000000, 1644.000000, 0, 25356
30, 0.100000, 1.000000, 3.000000, 300, 95, 10, 100, 1968.000000, 1906.000000, 0, 24943
30, 0.100000, 1.000000, 3.000000, 300, 95, 10, 100, 1650.000000, 1558.000000, 0, 25115
30, 0.100000, 1.000000, 3.000000, 300, 95, 10, 100, 1915.000000, 1822.000000, 0, 25669
30, 0.100000, 1.000000, 3.000000, 300, 100, 10, 100, 1636.000000, 1633.000000, 0, 28303
30, 0.100000, 1.000000, 3.000000, 300, 100, 10, 100, 2049.000000, 1918.000000, 0, 27271
30, 0.100000, 1.000000, 3.000000, 300, 100, 10, 100, 1730.000000, 1665.000000, 0, 27313
