k, params.Evap, params.Alpha, params.Beta, maxIter, nodes, minCost, maxCost, SC[bs], bestSolnThroughout, parallelP, msec
20, 0.100000, 1.000000, 3.000000, 200, 35, 10, 100, 707.000000, 707.000000, 0, 2257
20, 0.100000, 1.000000, 3.000000, 200, 35, 10, 100, 830.000000, 706.000000, 0, 2236
20, 0.100000, 1.000000, 3.000000, 200, 35, 10, 100, 701.000000, 638.000000, 0, 2200
20, 0.100000, 1.000000, 3.000000, 200, 35, 10, 100, 819.000000, 768.000000, 0, 2232
20, 0.100000, 1.000000, 3.000000, 200, 40, 10, 100, 1005.000000, 921.000000, 0, 2793
20, 0.100000, 1.000000, 3.000000, 200, 40, 10, 100, 994.000000, 795.000000, 0, 3010
20, 0.100000, 1.000000, 3.000000, 200, 40, 10, 100, 744.000000, 744.000000, 0, 2865
20, 0.100000, 1.000000, 3.000000, 200, 40, 10, 100, 753.000000, 753.000000, 0, 2841
20, 0.100000, 1.000000, 3.000000, 200, 40, 10, 100, 839.000000, 816.000000, 0, 2873
20, 0.100000, 1.000000, 3.000000, 200, 45, 10, 100, 1026.000000, 963.000000, 0, 3646
20, 0.100000, 1.000000, 3.000000, 200, 45, 10, 100, 1052.000000, 1016.000000, 0, 3609
20, 0.100000, 1.000000, 3.000000, 200, 45, 10, 100, 1046.000000, 984.000000, 0, 3636
20, 0.100000, 1.000000, 3.000000, 200, 45, 10, 100, 1004.000000, 945.000000, 0, 3688
20, 0.100000, 1.000000, 3.000000, 200, 45, 10, 100, 907.000000, 907.000000, 0, 3483
20, 0.100000, 1.000000, 3.000000, 200, 50, 10, 100, 1287.000000, 1123.000000, 0, 4558
20, 0.100000, 1.000000, 3.000000, 200, 50, 10, 100, 1113.000000, 1071.000000, 0, 4518
20, 0.100000, 1.000000, 3.000000, 200, 50, 10, 100, 1142.000000, 1073.000000, 0, 4537
20, 0.100000, 1.000000, 3.000000, 200, 50, 10, 100, 1166.000000, 1094.000000, 0, 4472
20, 0.100000, 1.000000, 3.000000, 200, 50, 10, 100, 1271.000000, 1197.000000, 0, 4428
20, 0.100000, 1.000000, 3.000000, 200, 55, 10, 100, 1133.000000, 993.000000, 0, 5497
20, 0.100000, 1.000000, 3.000000, 200, 55, 10, 100, 1079.000000, 1056.000000, 0, 5567
20, 0.100000, 1.000000, 3.000000, 200, 55, 10, 100, 1281.000000, 1211.000000, 0, 5431
20, 0.100000, 1.000000, 3.000000, 200, 55, 10, 100, 1188.000000, 1167.000000, 0, 5543
20, 0.100000, 1.000000, 3.000000, 200, 55, 10, 100, 1185.000000, 1182.000000, 0, 5510
20, 0.100000, 1.000000, 3.000000, 200, 60, 10, 100, 1196.000000, 1182.000000, 0, 6476
20, 0.100000, 1.000000, 3.000000, 200, 60, 10, 100, 1179.000000, 1130.000000, 0, 6351
20, 0.100000, 1.000000, 3.000000, 200, 60, 10, 100, 1342.000000, 1334.000000, 0, 6297
20, 0.100000, 1.000000, 3.000000, 200, 60, 10, 100, 1278.000000, 1249.000000, 0, 6506
20, 0.100000, 1.000000, 3.000000, 200, 60, 10, 100, 1197.000000, 1197.000000, 0, 6418
20, 0.100000, 1.000000, 3.000000, 200, 65, 10, 100, 1537.000000, 1373.000000, 0, 7618
20, 0.100000, 1.000000, 3.000000, 200, 65, 10, 100, 1371.000000, 1326.000000, 0, 7773
20, 0.100000, 1.000000, 3.000000, 200, 65, 10, 100, 1417.000000, 1338.000000, 0, 7623
20, 0.100000, 1.000000, 3.000000, 200, 65, 10, 100, 1288.000000, 1288.000000, 0, 7360
20, 0.100000, 1.000000, 3.000000, 200, 65, 10, 100, 1244.000000, 1207.000000, 0, 7530
