k, params.Evap, params.Alpha, params.Beta, maxIter, nodes, minCost, maxCost, SC[bs], bestSolnThroughout, parallelP, msec
30, 0.100000, 1.000000, 3.000000, 300, 75, 10, 100, 1421.000000, 1357.000000, 1, 14073
30, 0.100000, 1.000000, 3.000000, 300, 75, 10, 100, 1370.000000, 1342.000000, 1, 14297
30, 0.100000, 1.000000, 3.000000, 300, 75, 10, 100, 1497.000000, 1456.000000, 1, 14308
30, 0.100000, 1.000000, 3.000000, 300, 75, 10, 100, 1277.000000, 1270.000000, 1, 13469
30, 0.100000, 1.000000, 3.000000, 300, 80, 10, 100, 1553.000000, 1467.000000, 1, 16335
30, 0.100000, 1.000000, 3.000000, 300, 80, 10, 100, 1307.000000, 1287.000000, 1, 16348
30, 0.100000, 1.000000, 3.000000, 300, 80, 10, 100, 1491.000000, 1460.000000, 1, 15359
30, 0.100000, 1.000000, 3.000000, 300, 80, 10, 100, 1367.000000, 1367.000000, 1, 16044
30, 0.100000, 1.000000, 3.000000, 300, 80, 10, 100, 1511.000000, 1413.000000, 1, 15704
30, 0.100000, 1.000000, 3.000000, 300, 85, 10, 100, 1739.000000, 1692.000000, 1, 17734
30, 0.100000, 1.000000, 3.000000, 300, 85, 10, 100, 1559.000000, 1559.000000, 1, 18403
30, 0.100000, 1.000000, 3.000000, 300, 85, 10, 100, 1770.000000, 1719.000000, 1, 17877
30, 0.100000, 1.000000, 3.000000, 300, 85, 10, 100, 1659.000000, 1570.000000, 1, 18419
30, 0.100000, 1.000000, 3.000000, 300, 85, 10, 100, 1470.000000, 1464.000000, 1, 18130
30, 0.100000, 1.000000, 3.000000, 300, 90, 10, 100, 1883.000000, 1774.000000, 1, 20630
30, 0.100000, 1.000000, 3.000000, 300, 90, 10, 100, 1672.000000, 1580.000000, 1, 20279
30, 0.100000, 1.000000, 3.000000, 300, 90, 10, 100, 1574.000000, 1547.000000, 1, 20587
30, 0.100000, 1.000000, 3.000000, 300, 90, 10, 100, 1848.000000, 1776.000000, 1, 19975
30, 0.100000, 1.000000, 3.000000, 300, 90, 10, 100, 1725.000000, 1587.000000, 1, 20947
30, 0.100000, 1.000000, 3.000000, 300, 95, 10, 100, 1660.000000, 1635.000000, 1, 23083
30, 0.100000, 1.000000, 3.000000, 300, 95, 10, 100, 1590.000000, 1571.000000, 1, 23039
30, 0.100000, 1.000000, 3.000000, 300, 95, 10, 100, 1824.000000, 1775.000000, 1, 22986
30, 0.100000, 1.000000, 3.000000, 300, 95, 10, 100, 1906.000000, 1834.000000, 1, 22369
30, 0.100000, 1.000000, 3.000000, 300, 95, 10, 100, 1750.000000, 1698.000000, 1, 22857
30, 0.100000, 1.000000, 3.000000, 300, 100, 10, 100, 1920.000000, 1798.000000, 1, 25193
30, 0.100000, 1.000000, 3.000000, 300, 100, 10, 100, 1837.000000, 1795.000000, 1, 24785
30, 0.100000, 1.000000, 3.000000, 300, 100, 10, 100, 1716.000000, 1716.000000, 1, 25419
30, 0.100000, 1.000000, 3.000000, 300, 100, 10, 100, 1708.000000, 1708.000000, 1, 25239
30, 0.100000, 1.000000, 3.000000, 300, 100, 10, 100, 1796.000000, 1706.000000, 1, 25163
